Run,Position,Scale,Rotation,Opacity,Hash,MLP,Total Storage (MB),SSIM,PSNR,LPIPS
bicycle_n_128_l_4,13.29732,9.977597999999999,9.979134,4.43244,25.19984,0.114688,63.00102,,,
bonsai_n_128_l_4,3.532656,2.6541,2.655636,1.177552,25.19984,0.114688,35.334472,,,
bicycle_n_32_l_8,12.796656,9.6021,9.603636000000002,4.265552,25.19984,0.018432,61.48621599999999,,,
bonsai_n_32_l_8,3.53877,2.6586855000000003,2.6602215,1.17959,25.19984,0.018432,35.25553899999999,,,
